gene	Body wall muscle	Intestinal/rectal muscle	Pharyngeal muscle	Pharyngeal epithelia	Pharyngeal gland	Seam cells	Non-seam hypodermis	Rectum	Ciliated sensory neurons	Oxygen sensory neurons	Touch receptor neurons	Cholinergic neurons	GABAergic neurons	Pharyngeal neurons	flp-1(+) interneurons	Other interneurons	Canal associated neurons	Am/PH sheath cells	Socket cells	Excretory cells	Intestine	Germline	Somatic gonad precursors	Distal tip cells	Vulval precursors	Sex myoblasts	Coelomocytes
oac-39	0.247315	0	0	0.609881	0	0.205883	0	0	3.43251	0	0	0	0	0	0	0	0	0	0	0	1.75599	0	0	0	0	0	0
asd-2	279.589	419.024	398.669	386.337	17.5479	254.805	223.584	357.407	78.8076	273.563	6.12272	32.1614	0	387.212	18.7475	7.0322	0	560.709	799.267	306.373	14.9789	2.05495	163.254	308.463	214.473	154.614	30.9435
ctbp-1	7.42475	35.4417	0	2.62451	0.879169	25.2143	10.107	0	30.1412	124.042	167.863	184.674	39.9465	149.248	86.6114	85.3436	0	4.77304	17.1039	15.9957	1.89281	0.676603	0	3.77718	8.23288	15.2118	1.09093
tkr-3	1.10008	13.5861	4.70544	0	0	1.29214	0	0	6.49394	0	0	73.4567	0	90.1293	0	0	0	0.995178	5.08797	0	0	0.564941	0	0	0	0	0
arrd-3	0.0515586	0	0	0	11.0735	0	0	0	0	0	0	4.37876	0	0	0	0	0	0	0	0	0.319827	0.0725802	0	0	0	1.02733	0
tag-51	5.37461	5.77228	10.9397	10.6967	0	13.1244	2.44923	0	0	17.6274	0	0	42.8571	0	0	15.4612	13.0753	0.365297	0	0	2.93917	64.9186	32.2623	12.7605	7.1158	29.6007	6.24048
tag-52	5.18312	14.3738	1.20633	0.799694	1.31573	33.2397	26.61	0	70.5957	0	4.65632	9.6234	44.6333	3.17203	0	40.0612	0	2.71529	44.6927	3.94185	113.277	0.184535	38.0807	4.42423	19.4959	23.8373	15.3702
tag-53	27.8003	26.5026	101.696	211.616	36.8771	229.846	165.899	162.931	70.7795	105.423	26.2633	79.2618	149.955	35.8639	239.824	59.0746	83.4532	98.5623	316.36	234.104	154.013	2.36005	67.8968	67.6739	216.219	159.13	53.5426
sdhb-1	245.654	160.282	111.042	113.393	132.752	67.3067	106.2	13.7917	80.7254	96.8034	230.776	145.891	215.996	172.532	27.0198	73.1277	66.8887	83.0296	117.593	141.976	79.8426	97.3422	102.181	88.8162	83.2545	97.7001	132.606
prdx-2	148.665	93.2285	217.203	211.475	95.6469	280.413	427.927	317.665	142.44	63.0983	36.6	71.4293	76.3442	135.522	52.889	163.97	861.016	225.072	276.905	295.006	78.949	146.716	158.415	152.287	295.825	56.9248	117.827
stdh-4	0.0368937	0	0	1.31373	0	0.0783611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ttn-1	44355.1	15424	8125.94	1159.65	4879.62	377.543	776.054	131.321	1844.29	1249.51	1569.32	664.148	1116.89	1743.82	2189.37	797.802	947.168	404.768	671.366	174.695	440.474	215.446	112.31	685.586	305.012	1847.02	514.015
mrck-1	290.441	507.314	180.251	513.257	113.198	214.717	132.749	142.284	245.892	1160.96	373.028	1705.81	417.632	148.151	145.168	409.474	580.124	201.583	134.454	297.227	273.17	532.109	305.394	301.161	260.581	572.651	280.917
nrfl-1	12.3217	55.887	278.089	263.646	219.799	40.9522	63.5447	57.0076	39.9894	0	68.527	3.85676	0	13.7866	2.44753	17.7697	36.9654	309.616	76.1971	113.145	432.979	1.24191	41.281	45.7352	143.568	21.2646	564.808
ant-1.1	3042.82	2092.24	2669.46	1438.65	1683.67	1335.1	1456.15	1556.56	1134.74	828.874	1265.22	1093.95	1337.05	982.218	1236.85	1254.86	1070.08	1495.85	1048.92	1837.48	1209.54	1577.42	3158.23	2565.88	2282.98	2531.34	2301.55
tag-63	0.95787	0	0	0.178969	1.21056	22.5256	0.19395	0	0	0	0	5.45591	0	20.6341	0	0	0	4.30579	0	0	7.90706	201.736	114.469	18.1294	40.1723	34.1936	16.3248
cpna-4	1.12315	24.0198	0.6743	7.93551	4.62173	3.18749	0.857303	0	132.478	0	965.477	8.98337	0	184.948	0	571.499	16.4082	0	43.274	0	1.46628	1.86461	0	13.9602	0	0	2.85714
tag-65	24.69	28.7898	48.2126	60.4524	35.1146	44.399	5.47054	0	12.2466	17.7226	15.513	14.0268	9.61539	24.8427	0	8.6488	79.6634	6.61922	26.6621	10.9855	44.9499	273.08	127.905	67.5126	71.2451	62.8096	51.9742
pak-2	17.6092	55.5876	15.2729	39.2337	24.3677	47.4159	28.9696	77.0175	6.41357	12.4193	0	11.3812	0	63.4729	0	14.4946	80.7034	22.2486	38.4543	29.502	7.1831	118.073	75.289	123.912	39.3938	66.4242	36.5337
shn-1	2.5809	3.57926	549.931	1789.02	54.5398	218.541	110.982	202.434	176.544	18.05	0	102.07	0	258.441	2.27886	63.1091	11.4948	93.0498	1045.1	1063.76	11.9478	1.47589	150.624	6.88132	162.672	67.7301	3.06824
tag-68	15.9585	56.6548	3.88003	9.89569	0	0.311671	7.80663	0	44.2014	177.281	9.5048	333.738	144.043	153.893	4.89505	72.0502	188.597	1.48307	9.4222	9.01226	2.79202	2.21807	1.43635	0	4.92812	55.985	7.21057
atx-3	9.51186	17.3656	21.6478	0	15.9311	25.6657	43.6483	146.281	5.17118	0	0	1.31979	0	0	0	0	24.758	11.2507	17.722	22.3478	8.66384	90.482	30.3409	29.1665	52.2387	5.32779	4.80537
tag-72	16.3901	20.1518	27.7006	0.383029	2.41882	25.9114	4.66508	0	4.88744	0	5.48354	25.239	0	12.2525	10.5539	4.34103	47.9095	3.40339	12.1229	15.6642	8.10577	104.325	41.0563	19.9372	39.5975	14.796	20.4136
glod-4	6.81202	5.8931	4.3779	2.96064	0	11.6117	12.31	1.35432	21.4017	38.801	32.9012	2.78311	0	0	0	2.29171	16.9397	0.703938	8.49452	4.89141	4.61304	40.7435	11.9842	28.0152	25.1085	14.4589	18.2227
alg-4	0.176837	0	0	0	7.60202	0.770323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205583	0	0	0	0	0
tag-77	53.4289	62.6618	275.146	187.646	305.557	118.555	110.554	95.7258	130.73	12.6346	97.3024	63.9737	79.2944	97.936	21.5527	8.6639	8.23176	126.537	425.421	157.773	176.169	250.493	120.286	208.871	233.535	128.754	40.5599
heh-1	471.768	23.5256	0	3.74983	6.30167	0.724476	0	0	30.5074	0	0	2.96307	46.875	0	28.2258	2.97018	0	4.19989	2.96528	0	0.747672	0.601459	1.59349	0	0	32.936	13.0332
aex-4	1.21615	0.301939	0	0	0	0	1.40054	0	2.10203	20.0585	0	6.98739	0	0	0	0	0	0	0	0	37.3257	0.356329	0	0	0	0	0
tag-89	17.8888	4.07186	0	0	0	0.774438	0.508015	0	27.6114	104.946	0	48.5275	2.83447	12.79	458.63	85.8449	36.7501	0	3.93532	0	0.471449	0.460113	4.1777	0	2.06865	0	0
ppm-1	170.863	240.681	208.701	229.74	157.577	83.6485	112.597	29.4055	210.598	158.286	164.126	167.577	276.385	268.192	116.635	199.623	120.015	119.393	222.379	171.576	139.352	404.815	146.697	148.831	97.7275	120.052	212.183
tag-96	2.70518	0	8.80902	4.10212	28.5879	9.78462	1.21723	4.56748	2.1712	8.69679	0	2.35221	0	0	0	24.0998	16.4082	9.25211	1.04696	0	50.0327	3.92088	27.9456	11.8608	4.94111	0	50.2542
tag-97	102.091	37.006	93.812	171.786	19.8519	71.7352	115.661	328.76	337.841	254.53	1471.23	340.842	913.686	73.4521	65.9031	263.061	285.054	19.4377	93.5656	56.3786	21.2079	0.642419	1.37226	132.539	78.331	23.9174	11.1976
nduf-2.2	2.02504	0	0.462783	1.77701	3.49901	0.591471	0.277136	0	18.4421	0	52.9871	0.130389	0	0	0	1.99411	0	1.16982	1.04696	0	11.3951	118.039	5.9212	0	1.63984	0	0
bath-47	0.103017	0	0	0	0	0	0	0	3.36444	0	0	2.72161	0	0	0	7.09854	0	0	0	0	10.1829	0	0	0	0	0	0
fntb-1	11.2524	18.4287	3.37638	15.9958	5.10856	13.6457	5.54868	1.35432	15.3591	11.8364	24.4052	9.71754	0	19.185	0	8.64918	0	18.9269	45.1957	46.4492	7.56966	60.4731	22.5827	31.2561	14.84	14.3201	3.1869
tag-115	3.71707	9.97607	7.65228	0.357938	4.58866	8.349	1.84653	0	0	0	0	4.24664	0	0	23.1965	3.12218	0	0	8.51615	3.33111	4.8631	41.532	21.1725	16.0795	7.31946	31.0935	4.47378
magu-2	27.925	192.321	116.435	95.7949	2.05548	125.638	17.351	4.14161	3.29902	143.862	24.5906	241.465	411.994	27.6343	441.87	13.0378	85.064	124.294	142.434	97.7005	41.483	0.793083	3.24903	0	5.24704	3.13957	4.29139
rhgf-1	1.63862	0	49.9209	22.2237	2.63751	32.2981	9.8947	1.35432	46.1286	1527.82	0	831.601	111.028	282.806	151.018	550.603	0	9.49326	212.581	288.499	14.1047	1.05208	0	0	2.1818	0	23.0048
tag-120	2.87834	4.88234	23.3764	42.0499	70.6933	2.80346	1.44532	0	31.6031	0	0	6.34618	0	127.171	37.897	2.39632	0	72.31	19.3139	14.6199	82.7478	1.31391	6.07034	30.5161	0	0	18.7893
nhr-233	0.259183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214549	0	0	0	0	0
tag-123	42.1938	80.6424	6.49838	16.7936	111.992	184.966	21.0387	20.167	49.5962	10.7356	26.5869	44.7955	30.593	4.44172	25.4704	42.6126	54.3618	365.075	78.4837	69.9897	98.0026	1.86521	160.93	162.425	80.8919	168.169	103.464
tag-124	6.78702	6.79668	2.49812	9.2362	36.2958	11.7846	0.680326	0	0	0	0	0	0	0	0	15.0489	0	1.51199	1.04696	14.2094	7.72863	74.4908	29.1064	1.93005	12.0137	20.0464	2.00648
wdr-5.1	9.36842	15.9977	56.3697	32.2297	6.43339	17.5593	4.22062	8.42858	4.00512	20.6532	27.9757	16.8676	18.3306	14.1327	0	22.6241	8.60926	7.19665	32.2213	0	2.18038	59.0436	43.9295	30.0733	30.3756	35.5925	17.3446
tyra-3	0.349595	0	0	0	20.0598	0.0554602	1.13219	0	40.3523	101.693	20.892	82.9326	11.0619	55.6395	22.7584	77.4434	15.9091	12.5171	18.8475	18.1238	0	0.245472	0.802478	0	0	0	1.46107
rhgf-2	3.49277	3.0242	393.277	346.093	1.47476	47.9765	121.087	37.2388	450.606	263.183	174.613	171.55	29.7619	73.2532	0	64.6402	0	535.734	545.72	196.072	63.9857	1.36109	1.15618	0	112.387	1.71137	4.14287
chup-1	4.94491	0	27.2064	3.56454	15.3617	9.94863	2.83535	14.4038	5.08064	0	10.8087	2.71787	0	4.59555	0	3.52093	14.7327	19.7045	0	0	17.5872	0.653331	10.1859	18.9761	14.3732	21.2337	9.94689
tag-131	66.5203	79.3539	47.7263	26.6591	34.6234	23.1664	17.9728	11.004	15.1073	16.5332	68.7322	18.6818	74.411	17.2147	14.5805	36.6153	39.5765	21.0124	37.2464	41.0367	24.2854	52.1165	121.141	39.0838	42.6591	42.9743	45.6688
tmbi-4	20.6614	44.247	44.1224	78.9983	30.4358	92.6073	75.5584	74.1008	149.161	86.0247	117.957	119.123	142.351	54.57	98.1253	106.677	44.5904	139.748	130.675	280.22	107.684	0.680209	83.8598	54.1158	83.3964	37.2708	65.8786
plrg-1	20.886	57.5023	45.5815	31.8573	26.7384	42.4976	13.6643	17.6168	20.8339	43.7309	3.71927	69.573	54.7063	7.03027	0	0	42.4843	43.1445	54.2356	21.7761	14.8066	242.405	109.171	28.3344	124.608	73.1649	37.0494
dgk-4	126.945	118.028	203.618	80.139	174.479	112.956	110.851	55.4265	1014.33	488.414	488.155	535.673	427.874	484.759	283.835	1017.09	466.558	83.3758	270.635	180.515	123.02	531.637	225.51	100.438	143.337	230.434	119.096
tag-138	0.0271469	0	0	0	0	0.455335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.561531	0	0
zipt-21	0.795152	74.9924	4.21168	0	0	40.6424	2.03932	0	0	16.6431	0	8.06353	0	0	0	0	0	1.91188	0	42.9244	0	0.183481	0	0	0	2.95226	0
zipt-22	0.0711322	0	142.701	184.734	0	0.607822	5.32344	32.4217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.47251
F56D6.6	0.0484273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0580965	0	0	0	0	0
zhit-3	39.9671	11.7995	58.8894	39.5147	17.443	81.5674	20.1529	0	0	40.8459	0	9.29281	0	0	0	12.9435	80.208	35.758	30.4132	7.79958	46.7532	208.175	213.004	7.80505	136.75	108.085	8.71113
kdin-1	40.5187	40.7466	61.6768	22.0107	165.132	20.3933	22.729	0	41.3232	53.4643	40.2259	123.59	87.9803	146.068	4.30085	109.46	9.19582	2.90031	23.0723	0	267.892	136.258	98.7767	60.2537	23.1567	90.5977	66.1004
acl-3	23.7499	20.5948	38.5987	0.993829	6.80536	15.5958	4.54446	0	0	0	0	0	12.4378	30.8901	0	0	0	6.19655	0	9.55779	4.51571	60.5896	50.1145	3.23652	7.58195	29.8731	9.91154
let-391	6.31237	1.47379	0.672653	9.59754	10.4183	9.31386	3.92421	14.1041	9.56916	6.3479	0	3.74903	0	0	0	2.18522	22.3193	12.5904	3.49079	7.5188	28.3548	104.614	53.2106	25.395	19.9516	34.1311	17.1879
tag-147	112.22	83.9172	236.34	101.063	176.781	28.9244	323.459	122.197	255.327	93.421	21.2542	151.319	89.7064	107.499	6.67307	153.984	32.4713	11.2298	8.01137	30.5091	278.17	0.573168	120.186	289.083	12.3177	133.286	112.2
zipt-7.2	69.7157	130.207	117.797	141.804	176.205	228.1	156.075	175.442	53.7055	0	31.0632	14.0899	61.1391	159.37	48.3766	42.6467	119.007	179.567	152.749	172.771	190.739	1.32171	145.614	254.452	231.739	75.451	173.369
cpna-1	602.383	248.37	220.257	0	4.01616	7.08899	11.0305	0	7.67779	34.4084	46.9825	64.2482	0	0	0	21.6313	2.83092	8.61392	1.67263	0	56.5567	3.37893	2.07817	3.89833	1.92547	341.358	200.264
cgef-1	10.0081	167.57	140.748	421.475	109.027	59.4715	31.7847	85.7823	106.688	392.732	83.0855	323.955	551.363	637.351	56.0694	283.376	46.0499	3.28007	335.458	60.2217	19.6262	1.52512	60.0926	201.169	131.507	224.25	13.2605
tag-151	111.913	63.4127	98.7934	46.5507	248.803	97.8464	36.7141	99.2213	57.2673	152.474	0	46.004	22.799	25.3738	67.2059	35.2222	230.117	47.4007	106.472	86.8365	171.349	209.697	222.007	175.271	226.06	273.82	169.651
ten-1	434.579	285.968	1.12442	25.8838	8.63675	5.73516	13.1805	0	199.366	473.286	109.885	692.102	138.772	341.94	234.194	715.121	758.793	8.19459	28.0086	17.9372	24.4136	3.04112	1290.49	736.775	22.0221	475.536	22.0431
tag-153	2.0916	3.25806	21.0002	13.5456	11.5396	67.3512	31.4694	11.3998	5.11917	0	0	7.87132	33.701	0	0	0	11.0736	18.1993	84.8403	62.449	42.0338	358.185	91.4245	15.818	83.464	78.1596	9.14481
snx-3	7.63696	0	3.85967	27.9958	2.1339	14.7483	26.301	6.66672	0	37.6769	3.96033	19.9707	0	0	0	6.20792	4.649	7.75882	0	0	6.46528	14.8126	15.8334	16.5493	17.1756	4.20027	127.521
kcc-1	27.387	6.60327	8.8802	3.0301	0	20.0533	9.86556	9.8248	26.0466	0	5.16209	4.62545	0	0	0	5.97179	38.5881	4.43709	28.9231	36.7911	83.1773	2.12682	26.7413	24.8355	30.8565	14.6604	12.8048
lagr-1	0.519717	0	267.997	1664.8	0	1.8927	2.78615	0	7.86592	0	0	0	0	0	0	0	3.2235	1.01509	21.8226	0	3.26388	0	10.7522	0	3.0286	1.79635	0
tns-1	331.542	720.932	250.56	239.932	31.374	36.5414	250.069	262.824	41.4249	9.94642	17.9404	242.395	628.743	255.305	0	411.214	46.2899	73.9822	14.454	43.2497	32.2041	61.6833	62.9535	69.1018	55.3165	264.241	121.271
tag-164	0.133553	0	0	0	0	0	0.871757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.345156	0.743218	0	0	0	0
mtrr-1	17.1601	55.3208	25.6925	15.9864	47.3778	68.7618	50.4531	77.1518	16.6132	64.5166	13.6568	19.9008	0	23.7665	77.6398	17.8301	24.658	48.6038	89.8677	8.50598	44.5949	153.42	100.885	21.505	45.4936	51.8152	45.8814
abcf-1	135.01	98.2653	114.419	76.9999	264.264	124.754	70.0371	29.0935	46.1378	58.8787	38.6477	22.8394	0	93.679	32.4565	9.76885	181.334	128.966	59.9457	196.144	201.812	322.103	242.409	146.089	273.499	186.628	88.0346
rimb-1	24.6229	51.2684	49.3531	21.1021	107.928	6.77541	7.39861	10.9649	271.004	493.35	233.409	561.948	698.924	563.348	354.436	528.387	78.0179	0	20.6366	18.1238	25.5235	2.99031	0.728645	120.853	3.8055	115.557	11.0866
tdp-1	19.5621	9.88583	49.9784	20.727	23.0279	20.1854	11.9195	35.4533	5.32466	69.0492	21.8056	26.8732	0	8.18692	12.7916	21.9968	88.1354	22.2942	18.8208	34.1462	12.8237	95.7529	42.8245	58.1699	22.9331	35.3077	24.9162
txdc-9	9.96072	8.60444	22.7056	9.05105	1.21056	23.3175	15.34	4.82504	13.6696	23.124	97.0221	50.5439	68.6579	5.66675	55.6096	51.2648	83.734	19.8662	43.6649	0	7.48831	51.0645	36.3737	32.7421	36.8282	45.4899	25.4309
vps-16	21.2964	25.3514	54.6085	39.4628	31.7378	39.4792	24.2762	45.6434	14.607	8.40647	58.593	22.3932	0	11.4764	16.3527	1.69597	33.747	22.1799	34.7104	50.821	74.1619	104.284	85.1355	90.3121	46.486	84.7089	48.7471
madd-3	564.048	286.06	90.558	60.5266	111.414	49.7802	31.0943	0	102.072	113.702	28.85	67.8006	146.02	92.2188	130.517	53.0216	141.018	28.4564	90.7151	22.0443	87.0282	2.63944	117.857	100.021	60.2102	35.7797	60.6682
bckd-1B	55.4572	31.3037	47.9633	23.479	11.344	18.3975	34.6429	31.1143	3.41278	32.088	0	16.9471	0	12.5614	0	14.4368	0	17.7423	6.95303	11.0824	24.4395	39.4371	34.386	49.593	32.6728	14.4106	35.0804
tag-174	209.756	161.665	207.46	146.916	79.5989	109.52	145.33	125.356	120.96	157.064	113.071	202.354	147.76	80.7485	92.0139	77.9088	93.3209	105.556	113.846	221.861	87.4592	112.2	153.544	153.442	113.654	107.393	134.001
tag-175	4.71385	7.74997	0	0	3.98691	7.80011	4.90151	0	6.554	17.6274	0	9.09074	0	0	0	7.57495	0	17.2391	2.20465	12.3651	3.09738	13.9033	28.0035	2.76959	15.3964	8.56481	12.8522
abcx-1	0.086655	2.09394	0	0	0	0.669148	2.91634	4.78932	0	0	0	0	9.43396	0	0	2.18522	22.486	3.16731	93.5803	19.356	0	0.3932	2.95469	0	4.62398	0	0
tam-1	107.057	178.26	123.692	311.613	133.352	78.5415	62.8102	24.0671	268.222	172.617	19.2969	94.4051	107.821	66.585	1137.31	200.306	110.527	521.57	223.477	109.868	517.105	194.911	118.646	92.3017	137.113	102.5	47.9849
tap-1	8.81526	20.0455	27.8884	19.7453	52.8517	13.7669	1.09105	4.96993	6.64221	0	41.1046	22.7051	37.4626	0	0	27.1071	54.5857	4.00951	5.00591	13.6436	14.8455	0.564294	27.7434	15.0723	24.1586	46.3597	95.6939
tax-2	0.999716	0	0	10.0653	0	0.248197	0	0	266.223	51.6329	0	0	0	0	0	0	0	2.1488	8.54219	0	1.30807	0.079028	1.20422	0	0	0	1.19542
tax-4	0.306805	0	0	0	0	1.09949	0.816524	0	63.7745	45.6582	0	0	0	0	0	0	0	0	0	0	0	0.495546	0	20.5966	5.43487	0	0.821849
tax-6	256.768	1064.15	113.296	159.563	117.772	15.6117	54.8991	49.3524	949.541	627.743	643.272	948.829	334.779	665.415	1044.82	2040.12	506.455	4.61887	103.446	21.1536	444.801	2.70236	27.61	63.5401	30.2958	156.089	120.363
tba-1	360.07	1792.6	185.635	313.447	205.319	457.913	237.569	512.707	391.501	1841.12	478.09	1915.38	1700.5	868.615	1105.37	3030.07	501.004	680.405	788.937	1081.12	41.9975	317.113	588.183	1831.92	1076.96	529.507	184.07
tba-2	288.99	670.857	466.661	552.977	595.527	339.899	164.187	231.748	469.62	358.144	210.201	712.571	591.68	880.71	603.418	296.84	763.469	298.077	244.524	278.161	119.925	533.914	697.806	767.311	485.265	388.108	324.187
tba-4	2.05901	0.301939	0.645845	0	0	5.17485	8.89655	6.13851	11.3109	0	0	0	0	0	0	0	0	0	0	0	7.96087	0.047941	26.0194	0	35.2557	7.6816	0
tba-5	0.561452	0	0.722189	0	0	0.418557	0	0	139.984	0	0	0	0	0	0	0	0	2.22868	0	0	1.03174	0	0	0	0	0	0
tba-6	0.0597445	0	0	0	0	0.274337	0	0	142.324	0	0	0	0	0	0	0	0	0	12.6699	0	0	0.139016	0	0	11.9747	0	0
tba-7	1.04821	0	0	10.4383	0	3.60741	4.34848	0	6.67218	0	0	0	0	0	0	0	0	0	0	0	213.727	1.85986	0	0	0	0	9.33522
tba-8	0.459676	0.541216	0	0	23.4769	249.876	7.62643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.49606	0	0	0	0	0
tba-9	0.952259	0	0	0.714729	0	0	9.73365	0	99.3191	85.5431	5.71376	5.52779	0	0	41.4137	85.1913	0	0	26.1925	0	1.56207	0.150871	0	0	0	0	0
tbb-1	268.128	588.342	264.698	170.879	390.808	285.873	195.608	199.746	360.041	314.891	179.923	321.188	442.505	299.258	209.253	198.741	181.204	321.45	391.019	239.418	79.1972	388.442	570.277	335.662	496.459	386.626	284.352
tbb-2	601.713	1686.29	684.167	1133.98	1071.32	777.72	494.888	488.893	977.76	3088.92	1041.03	2017.57	2256.33	1581.05	1550.45	2305.01	1294.31	927.367	1668.33	2294.81	236.294	787.64	1071.11	2518.1	1971.48	871.738	540.458
tbb-4	0.164736	0	0	1.91789	0	0	0	0	376.63	206.773	0	0	0	8.51528	0	28.1343	0	0	20.4533	0	0	0	5.66123	0	0	0	6.03624
tbb-6	0.0932247	0	0.759284	15.5496	0	2.11376	4.74253	0	4.49016	34.2018	0	0	0	0	0	0	0	6.98316	3.27852	7.03327	0	0.279334	0	0	4.66176	0	2.73746
tbg-1	5.85359	4.69322	24.0584	6.70213	32.846	23.1672	3.0442	5.54133	1.79675	23.5898	0	46.9037	7.66871	25.0217	0	6.63261	46.3642	16.5528	0	9.20133	9.92642	102.734	47.5016	0	31.028	49.3158	11.8468
tbh-1	0.0834457	0	0	2.48365	0	0.052605	1.19617	0	0	0	0	0	0	0	0	616.83	0	0	0	0	1.99739	0.0503166	0	0	0	0	1.5701
tbp-1	5.5481	0	3.60647	6.98614	1.83655	10.1815	2.86878	0	1.57096	0	0	7.89263	16.8919	0	0	0	9.19582	7.15333	17.2481	15.3377	1.71223	29.3069	17.107	7.12292	8.83282	3.78181	14.5871
tbx-2	18.5337	0	20.7706	40.7474	53.8853	16.4259	25.7167	80.5161	11.701	146.625	0	38.0689	0	157.262	0	0	0	42.8594	269.247	0	13.0235	7.2136	0	0	1.16547	0	0
tbx-7	0.822551	0	5.89553	0	0	0.413437	0	0	0	0	0	6.98739	0	0	0	0	0	0	0	0	0.915764	0.075148	0	0	0	0	0
tbx-8	0.0719449	0	0	0	0	0.760727	0	0	0	0	0	4.87734	0	0	0	0	0	0	0	0	0	0.22731	0	0	0.55229	0	0
tbx-9	0.0848557	0	0	0	0	0.216446	0	0	0	0	0	0	0	0	0	0	0	0	12.526	0	0	0	0	0	0	0	0
tbx-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tbx-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tbx-31	0.180852	0	0	0	0	0.537229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16689	0	0	0	0
tbx-32	0.0323559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03018	0.0662297	0.706447	0	0	0	0
tbx-33	0.198212	0	0	0	0	2.12817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145839	0	0	0	0	0
tbx-34	0	0	0	0	0	0.268009	0	0	0	0	0	8.07559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tbx-35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0621373	0	0	0	0	0
tbx-36	0.192124	0	0	1.29342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tbx-37	0.0419492	0	0	0	0	0.695177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0515502	0	0	0	0	0
tbx-38	0.159628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.86273	0.0705866	0	0	0	0	0
tbx-39	0.121154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.715622	0	0	0	0	0	0
tbx-40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.881018	0	0	0	0
tbx-41	0.09428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tcl-2	9.4143	4.41777	0	9.91332	0.879169	44.1305	24.0007	0	5.6287	0	0	4.26503	37.3718	7.67401	0	5.5057	77.1112	1.52716	198.137	117.423	33.6137	23.9976	174.784	137.358	113.75	78.6175	1.27843
tdc-1	7.68048	3.8661	18.9595	2.53539	5.19867	12.5152	14.8676	0	2.4387	0	0	9.22555	0	3.21688	0	160.562	16.031	17.6426	19.892	9.00828	2.67303	60.0187	7.31664	5.75119	2.27085	10.2148	5.67167
teg-1	7.79375	6.63252	76.4391	75.2614	135.029	23.5999	12.4532	43.537	52.2473	63.5559	5.41903	7.2647	13.2979	70.2176	0	17.1685	10.7505	18.0996	24.5642	100.559	53.7058	127.52	45.2598	23.333	41.4251	29.2286	9.3428
tfg-1	54.7853	99.9971	66.9356	90.7132	166.814	103.024	55.4313	131.522	100.26	91.3566	76.2149	39.9734	78.3742	122.838	29.6782	101.332	41.3024	121.649	92.9921	108.826	98.6229	57.2184	40.2133	177.505	48.0992	39.2852	151.093
tgt-1	29.8274	56.4501	55.4847	35.3393	31.4501	51.9657	21.6867	0	28.5787	22.4184	30.1289	20.6284	10.0806	0	0	24.9429	25.0545	50.241	15.7535	6.48172	36.7055	94.3992	69.5047	61.7865	95.6265	35.0908	60.5795
tgt-2	14.8156	8.42618	1.49455	15.088	0	17.7872	9.06083	1.35432	0	0	0	3.43488	0	19.9045	0	0	0	5.83913	8.58447	0	21.7507	52.1908	65.1477	22.5681	45.2172	26.1482	19.5659
thk-1	2.2297	2.86942	0	0.715876	3.49901	8.96034	8.2957	44.6977	0	0	0	0	0	0	0	0	0	0	87.6231	0	19.9747	55.0459	40.0177	43.7756	37.4347	18.3296	3.42382
tig-2	43.6313	65.0009	35.9965	23.8813	29.7431	2.77904	2.84729	0	0.774217	104.459	0	162.746	0	62.6863	94.964	55.4211	336.407	25.33	0	0	0.499181	4.80676	12.9696	63.3715	8.25956	119.108	11.8019
tim-1	12.6539	25.9329	7.42366	6.78581	2.43884	101.397	2.75954	0	15.7909	6.07165	11.834	32.598	64.1026	5.99758	14.5449	27.1277	0	70.1912	15.0109	36.2929	96.6114	614.042	370.893	15.3438	215.27	120.022	3.56088
tin-9.1	15.4583	11.6532	5.9024	21.8346	1.21056	7.87316	2.25652	0	4.17456	0	0	0.130389	13.0208	0	8.23669	21.7749	0	8.50085	16.3351	0	1.42485	29.4333	6.6034	2.82933	6.40496	2.70798	9.24074
